date_gmt,open_bid,high_bid,low_bid,close_bid,open_ask,high_ask,low_ask,close_ask,volume
2022-01-02 22:00:00,1.1369,1.13727,1.13649,1.137,1.13776,1.13784,1.1369,1.13765,312
2022-01-02 22:30:00,1.137,1.13741,1.137,1.13729,1.13788,1.13788,1.13744,1.13755,265
2022-01-02 23:00:00,1.13721,1.13782,1.13696,1.13733,1.13756,1.13802,1.13701,1.13736,1360
2022-01-02 23:30:00,1.13733,1.13742,1.13692,1.13727,1.13735,1.13747,1.13696,1.13731,451
2022-01-03 00:00:00,1.13726,1.13755,1.13664,1.13664,1.13732,1.13759,1.13667,1.13667,457
2022-01-03 00:30:00,1.13663,1.13668,1.13608,1.13618,1.13668,1.13673,1.13612,1.13622,625
2022-01-03 01:00:00,1.13619,1.13651,1.13599,1.13613,1.13623,1.13655,1.13604,1.13617,489
2022-01-03 01:30:00,1.13614,1.13616,1.13498,1.13584,1.13618,1.13619,1.13502,1.13588,969
2022-01-03 02:00:00,1.13584,1.13585,1.1348,1.13494,1.13587,1.13588,1.13484,1.13496,722
2022-01-03 02:30:00,1.13491,1.13496,1.13423,1.13425,1.13495,1.13499,1.13426,1.13429,483
2022-01-03 03:00:00,1.13428,1.13467,1.13421,1.13438,1.1343,1.1347,1.13424,1.13442,369
2022-01-03 03:30:00,1.13439,1.135,1.13412,1.13481,1.13443,1.13503,1.13415,1.13484,454
2022-01-03 04:00:00,1.13482,1.13489,1.1343,1.13484,1.13485,1.13493,1.13433,1.13488,293
2022-01-03 04:30:00,1.13481,1.13481,1.13385,1.13403,1.13485,1.13485,1.13388,1.13407,338
2022-01-03 05:00:00,1.13404,1.13411,1.13364,1.13366,1.13408,1.13415,1.13368,1.1337,275
2022-01-03 05:30:00,1.13365,1.13407,1.13359,1.13378,1.13368,1.13411,1.13363,1.1338,338
2022-01-03 06:00:00,1.13378,1.13426,1.13377,1.13411,1.13382,1.1343,1.13381,1.13415,399
2022-01-03 06:30:00,1.13408,1.13462,1.13408,1.13429,1.13412,1.13465,1.13412,1.13433,382
2022-01-03 07:00:00,1.1343,1.1346,1.13362,1.13363,1.13433,1.13464,1.13365,1.13366,889
2022-01-03 07:30:00,1.13364,1.135,1.13349,1.1348,1.13366,1.13504,1.13352,1.13483,1143
2022-01-03 08:00:00,1.13479,1.13479,1.13352,1.1337,1.13483,1.13483,1.13356,1.13374,1999
2022-01-03 08:30:00,1.13369,1.1347,1.13354,1.13465,1.13373,1.13473,1.13356,1.13469,1373
2022-01-03 09:00:00,1.13465,1.13563,1.13385,1.13389,1.13466,1.13566,1.13388,1.13393,1401
2022-01-03 09:30:00,1.13387,1.13554,1.13356,1.13516,1.13391,1.13559,1.13359,1.13519,1753
2022-01-03 10:00:00,1.13516,1.13596,1.13506,1.13554,1.13518,1.136,1.13508,1.13555,1559
2022-01-03 10:30:00,1.13552,1.13591,1.13506,1.13551,1.13556,1.13595,1.1351,1.13555,1602
2022-01-03 11:00:00,1.13552,1.13661,1.13514,1.13604,1.13556,1.13665,1.13519,1.1361,1857
2022-01-03 11:30:00,1.13606,1.1362,1.13518,1.13554,1.13609,1.13625,1.13521,1.13559,1777
2022-01-03 12:00:00,1.13554,1.13562,1.13493,1.13534,1.13558,1.13564,1.13496,1.13538,1600
2022-01-03 12:30:00,1.13532,1.13594,1.13465,1.13586,1.13536,1.13597,1.13467,1.13588,2229
2022-01-03 13:00:00,1.13588,1.13633,1.13497,1.13629,1.13591,1.13636,1.13501,1.13634,2731
2022-01-03 13:30:00,1.13628,1.13641,1.13458,1.13506,1.13634,1.13644,1.13461,1.1351,3095
2022-01-03 14:00:00,1.13507,1.13517,1.1325,1.13262,1.1351,1.13521,1.13253,1.13266,2880
2022-01-03 14:30:00,1.13261,1.13291,1.12997,1.13061,1.13266,1.13294,1.13004,1.13065,3841
2022-01-03 15:00:00,1.13064,1.13093,1.12919,1.12958,1.13067,1.13097,1.12923,1.1296,4065
2022-01-03 15:30:00,1.12956,1.13011,1.12902,1.12915,1.12961,1.13015,1.12905,1.1292,3659
2022-01-03 16:00:00,1.12916,1.12988,1.12888,1.12926,1.1292,1.1299,1.1289,1.12929,2904
2022-01-03 16:30:00,1.12924,1.12955,1.12828,1.12888,1.12928,1.12959,1.12832,1.12891,2837
2022-01-03 17:00:00,1.12888,1.12899,1.12797,1.12817,1.1289,1.12902,1.128,1.12821,1741
2022-01-03 17:30:00,1.12814,1.12867,1.12797,1.12837,1.12817,1.1287,1.128,1.12841,1041
2022-01-03 18:00:00,1.12837,1.12919,1.12833,1.12906,1.12842,1.12922,1.12835,1.12912,1001
2022-01-03 18:30:00,1.12907,1.12969,1.12905,1.12948,1.12912,1.12972,1.12909,1.1295,786
2022-01-03 19:00:00,1.12948,1.12986,1.12936,1.12979,1.12949,1.12988,1.12939,1.12984,866
2022-01-03 19:30:00,1.12981,1.12995,1.12949,1.12971,1.12985,1.12999,1.12952,1.12977,1169
2022-01-03 20:00:00,1.1297,1.1299,1.12958,1.12966,1.12976,1.12995,1.12963,1.12969,1149
2022-01-03 20:30:00,1.12964,1.13003,1.12937,1.12963,1.12968,1.13007,1.1294,1.12966,1199
2022-01-03 21:00:00,1.12963,1.12972,1.12943,1.1297,1.12968,1.12977,1.12949,1.12976,397
2022-01-03 21:30:00,1.12973,1.12992,1.12965,1.12965,1.12978,1.12996,1.12973,1.1299,300
2022-01-03 22:00:00,1.12965,1.12982,1.12929,1.12948,1.12989,1.1301,1.1295,1.12958,655
2022-01-03 22:30:00,1.12948,1.12963,1.12945,1.12945,1.12956,1.12979,1.12953,1.12964,1932
2022-01-03 23:00:00,1.12948,1.12995,1.12946,1.12994,1.12964,1.12999,1.12961,1.12997,719
2022-01-03 23:30:00,1.12993,1.13022,1.12954,1.13017,1.12997,1.13026,1.12957,1.13023,473
2022-01-04 00:00:00,1.13016,1.13068,1.13012,1.13041,1.13023,1.13071,1.13017,1.13045,742
2022-01-04 00:30:00,1.13042,1.13062,1.13038,1.13056,1.13046,1.13065,1.1304,1.1306,515
2022-01-04 01:00:00,1.13056,1.13087,1.13051,1.13061,1.13059,1.1309,1.13055,1.13064,664
2022-01-04 01:30:00,1.13061,1.1307,1.13013,1.13066,1.13063,1.13073,1.13016,1.13069,693
2022-01-04 02:00:00,1.13065,1.1308,1.13045,1.13067,1.13068,1.13083,1.13048,1.13069,414
2022-01-04 02:30:00,1.13067,1.13094,1.12997,1.13021,1.1307,1.13096,1.13,1.13024,665
2022-01-04 03:00:00,1.13021,1.13042,1.12953,1.12993,1.13023,1.13045,1.12957,1.12996,954
2022-01-04 03:30:00,1.12992,1.13016,1.12975,1.12975,1.12996,1.13021,1.12979,1.1298,1029
2022-01-04 04:00:00,1.12975,1.13012,1.12962,1.12999,1.12979,1.13016,1.12966,1.13005,708
2022-01-04 04:30:00,1.13,1.13055,1.12996,1.13005,1.13005,1.1306,1.13001,1.13009,1015
2022-01-04 05:00:00,1.13005,1.13057,1.13003,1.1304,1.1301,1.13061,1.13009,1.13045,814
2022-01-04 05:30:00,1.13039,1.13053,1.13014,1.13046,1.13044,1.13058,1.13019,1.13051,676
2022-01-04 06:00:00,1.13046,1.13071,1.12937,1.12945,1.13052,1.13074,1.12942,1.12951,1068
2022-01-04 06:30:00,1.12946,1.12978,1.12919,1.12931,1.12951,1.12984,1.12922,1.12935,1172
2022-01-04 07:00:00,1.12929,1.12942,1.12846,1.12857,1.12934,1.12947,1.12851,1.12862,1880
2022-01-04 07:30:00,1.12856,1.12927,1.12831,1.12914,1.12862,1.12933,1.12836,1.12918,2171
2022-01-04 08:00:00,1.12914,1.13002,1.12872,1.12964,1.12919,1.13006,1.12875,1.12967,3187
2022-01-04 08:30:00,1.12965,1.12978,1.1289,1.12895,1.12968,1.1298,1.12891,1.12898,1375
2022-01-04 09:00:00,1.12894,1.13067,1.12831,1.13055,1.12897,1.1307,1.12833,1.13057,1801
2022-01-04 09:30:00,1.13056,1.13083,1.12965,1.13019,1.13058,1.13085,1.12968,1.13022,1806
2022-01-04 10:00:00,1.13019,1.13055,1.12985,1.13022,1.13023,1.13058,1.12987,1.13025,1626
2022-01-04 10:30:00,1.13022,1.13047,1.12944,1.12945,1.13027,1.1305,1.12946,1.12948,1280
2022-01-04 11:00:00,1.12947,1.12963,1.12791,1.12816,1.1295,1.12966,1.12795,1.12819,1818
2022-01-04 11:30:00,1.12816,1.12853,1.12759,1.1276,1.12818,1.12856,1.12761,1.12763,1761
2022-01-04 12:00:00,1.12763,1.12833,1.12721,1.12765,1.12765,1.12836,1.12724,1.12768,1945
2022-01-04 12:30:00,1.12764,1.12812,1.12726,1.1273,1.12767,1.12814,1.12729,1.12732,1713
2022-01-04 13:00:00,1.12728,1.12898,1.12728,1.1289,1.12732,1.12901,1.12732,1.12893,1917
2022-01-04 13:30:00,1.12889,1.12889,1.12762,1.12797,1.12892,1.12892,1.12763,1.12802,1717
2022-01-04 14:00:00,1.128,1.12881,1.12775,1.12814,1.12802,1.12884,1.12776,1.12816,2071
2022-01-04 14:30:00,1.12812,1.12872,1.12784,1.12846,1.12815,1.12874,1.12788,1.12852,2207
2022-01-04 15:00:00,1.12849,1.13164,1.12834,1.13117,1.12856,1.13167,1.12838,1.1312,3490
2022-01-04 15:30:00,1.13116,1.13224,1.13087,1.13091,1.13119,1.13226,1.13089,1.13093,3428
2022-01-04 16:00:00,1.13092,1.13154,1.12893,1.1292,1.13093,1.13157,1.12897,1.12924,3388
2022-01-04 16:30:00,1.12918,1.12951,1.12854,1.12945,1.12922,1.12954,1.12858,1.12948,2214
2022-01-04 17:00:00,1.12943,1.12959,1.12896,1.12922,1.12947,1.12963,1.12898,1.12925,1002
2022-01-04 17:30:00,1.12922,1.12948,1.12883,1.12936,1.12926,1.12952,1.12886,1.12939,916
2022-01-04 18:00:00,1.12939,1.12941,1.129,1.12918,1.12942,1.12944,1.12903,1.12922,710
2022-01-04 18:30:00,1.12918,1.12918,1.12794,1.128,1.12921,1.12922,1.12796,1.12804,1051
2022-01-04 19:00:00,1.128,1.12903,1.12779,1.1289,1.12803,1.12907,1.12782,1.12893,1205
2022-01-04 19:30:00,1.1289,1.1293,1.12868,1.12876,1.12892,1.12931,1.12872,1.1288,774
2022-01-04 20:00:00,1.12875,1.12894,1.12821,1.12823,1.12879,1.12897,1.12824,1.12826,809
2022-01-04 20:30:00,1.12825,1.12876,1.12808,1.12844,1.12827,1.1288,1.12811,1.12849,1016
2022-01-04 21:00:00,1.12845,1.12862,1.12811,1.12837,1.12849,1.12865,1.12816,1.12839,583
2022-01-04 21:30:00,1.12834,1.12877,1.12813,1.12861,1.1284,1.12886,1.12818,1.12879,568
2022-01-04 22:00:00,1.12856,1.12867,1.12823,1.12848,1.12879,1.12899,1.12849,1.12875,374
2022-01-04 22:30:00,1.12848,1.12862,1.1283,1.12839,1.12871,1.12878,1.12851,1.12877,640
2022-01-04 23:00:00,1.12835,1.1287,1.12835,1.12841,1.12876,1.12889,1.12844,1.12845,416
2022-01-04 23:30:00,1.1284,1.1285,1.12817,1.12827,1.12845,1.12854,1.12821,1.12832,308
2022-01-05 00:00:00,1.12826,1.12855,1.1282,1.1283,1.1283,1.1286,1.12825,1.12834,357
2022-01-05 00:30:00,1.12829,1.12834,1.12769,1.12771,1.12834,1.12838,1.12773,1.12775,661
2022-01-05 01:00:00,1.12773,1.12855,1.12773,1.12854,1.12776,1.12858,1.12776,1.12857,784
2022-01-05 01:30:00,1.12854,1.12886,1.12839,1.12857,1.12858,1.12889,1.12842,1.1286,833
2022-01-05 02:00:00,1.12857,1.12913,1.12849,1.12911,1.12859,1.12916,1.12853,1.12916,829
2022-01-05 02:30:00,1.12911,1.12941,1.12894,1.12919,1.12915,1.12945,1.12898,1.12923,809
2022-01-05 03:00:00,1.12923,1.12942,1.1291,1.1294,1.12924,1.12944,1.12914,1.12944,485
2022-01-05 03:30:00,1.1294,1.12967,1.12936,1.12956,1.12943,1.1297,1.12939,1.1296,427
2022-01-05 04:00:00,1.12956,1.12956,1.12895,1.12898,1.12959,1.12959,1.12899,1.12902,603
2022-01-05 04:30:00,1.12897,1.12915,1.12882,1.12887,1.12901,1.12917,1.12887,1.12891,606
2022-01-05 05:00:00,1.12889,1.12899,1.12873,1.12891,1.1289,1.12903,1.12875,1.12895,477
2022-01-05 05:30:00,1.12893,1.12946,1.1289,1.12937,1.12894,1.12949,1.12893,1.12941,498
2022-01-05 06:00:00,1.12936,1.12965,1.12929,1.12962,1.1294,1.12968,1.12931,1.12967,605
2022-01-05 06:30:00,1.12965,1.13011,1.12949,1.12956,1.12968,1.13014,1.12953,1.1296,654
2022-01-05 07:00:00,1.12956,1.13025,1.12946,1.12987,1.12959,1.13029,1.12949,1.1299,1158
2022-01-05 07:30:00,1.12986,1.13023,1.12971,1.12986,1.12989,1.13025,1.12973,1.12989,1059
2022-01-05 08:00:00,1.12987,1.13099,1.12966,1.13091,1.1299,1.13102,1.12967,1.13094,1602
2022-01-05 08:30:00,1.13091,1.13109,1.12966,1.13028,1.13093,1.13112,1.12969,1.13031,1559
2022-01-05 09:00:00,1.13027,1.1307,1.13002,1.13017,1.1303,1.13073,1.13004,1.13019,1637
2022-01-05 09:30:00,1.13017,1.13085,1.13,1.13062,1.1302,1.13088,1.13001,1.13064,1517
2022-01-05 10:00:00,1.13061,1.13136,1.13042,1.13128,1.13064,1.13139,1.13046,1.13132,1976
2022-01-05 10:30:00,1.13128,1.13139,1.13046,1.13079,1.13131,1.13142,1.13049,1.13084,1726
2022-01-05 11:00:00,1.13079,1.13187,1.13065,1.13175,1.13083,1.13191,1.13068,1.13178,1776
2022-01-05 11:30:00,1.13174,1.13237,1.13169,1.13189,1.13178,1.1324,1.13173,1.13192,1803
2022-01-05 12:00:00,1.13191,1.13261,1.13116,1.13159,1.13194,1.13264,1.13119,1.13163,2223
2022-01-05 12:30:00,1.13158,1.13173,1.13047,1.13076,1.13162,1.13176,1.1305,1.1308,2201
2022-01-05 13:00:00,1.13077,1.13183,1.1303,1.13082,1.13081,1.13188,1.13034,1.13085,4413
2022-01-05 13:30:00,1.13082,1.13287,1.13082,1.13238,1.13086,1.1329,1.13086,1.13241,3375
2022-01-05 14:00:00,1.13237,1.13364,1.1321,1.13352,1.13241,1.13367,1.13213,1.13355,2477
2022-01-05 14:30:00,1.13353,1.13386,1.13305,1.13357,1.13357,1.13389,1.13307,1.13359,2245
2022-01-05 15:00:00,1.13356,1.13441,1.13354,1.13365,1.13359,1.13443,1.13357,1.13368,2135
2022-01-05 15:30:00,1.13365,1.13393,1.13324,1.13369,1.13369,1.13396,1.13327,1.13372,2371
2022-01-05 16:00:00,1.13367,1.13395,1.13227,1.13266,1.13371,1.13398,1.1323,1.13267,2055
2022-01-05 16:30:00,1.13265,1.13343,1.1325,1.13339,1.13267,1.13346,1.13253,1.13342,1258
2022-01-05 17:00:00,1.1334,1.13463,1.13332,1.1342,1.13342,1.13466,1.13335,1.13423,1253
2022-01-05 17:30:00,1.13421,1.13457,1.13386,1.13413,1.13425,1.1346,1.13391,1.13415,1060
2022-01-05 18:00:00,1.13412,1.13413,1.13356,1.13406,1.13415,1.13415,1.13359,1.13409,968
2022-01-05 18:30:00,1.13407,1.13444,1.13361,1.13371,1.1341,1.13447,1.13365,1.13377,629
2022-01-05 19:00:00,1.13372,1.13394,1.1308,1.13196,1.13378,1.13399,1.13083,1.13201,6208
