date_gmt,open_bid,high_bid,low_bid,close_bid,open_ask,high_ask,low_ask,close_ask,volume
2020-01-01 22:00:00,1.12106,1.12166,1.12106,1.12143,1.1216,1.12185,1.12124,1.12157,1423
2020-01-01 23:00:00,1.12143,1.12218,1.12142,1.12188,1.12158,1.12228,1.12156,1.12191,1363
2020-01-02 00:00:00,1.12188,1.1219,1.12157,1.12183,1.12192,1.12193,1.12159,1.12185,1268
2020-01-02 01:00:00,1.12182,1.12244,1.1218,1.12209,1.12184,1.12247,1.12182,1.12213,2204
2020-01-02 02:00:00,1.1221,1.12245,1.12184,1.12222,1.12212,1.12247,1.12186,1.12226,1473
2020-01-02 03:00:00,1.12224,1.12231,1.12124,1.12132,1.12226,1.12233,1.12125,1.12136,1744
2020-01-02 04:00:00,1.12132,1.12143,1.12008,1.12012,1.12137,1.12145,1.1201,1.12014,1977
2020-01-02 05:00:00,1.12011,1.12044,1.12009,1.12043,1.12014,1.12046,1.12011,1.12046,1840
2020-01-02 06:00:00,1.12044,1.12077,1.12036,1.12077,1.12046,1.12078,1.12039,1.12078,2237
2020-01-02 07:00:00,1.12078,1.12102,1.12043,1.12098,1.1208,1.12104,1.12044,1.121,4056
2020-01-02 08:00:00,1.12099,1.12137,1.12051,1.1212,1.121,1.12138,1.12053,1.12122,4361
2020-01-02 09:00:00,1.12119,1.12141,1.12011,1.1203,1.1212,1.12142,1.12013,1.12032,3749
2020-01-02 10:00:00,1.1203,1.12039,1.11927,1.11982,1.12033,1.1204,1.11929,1.11985,3684
2020-01-02 11:00:00,1.11984,1.12021,1.11842,1.11848,1.11986,1.12024,1.11843,1.11849,4512
2020-01-02 12:00:00,1.11847,1.11943,1.11829,1.1193,1.11849,1.11945,1.11832,1.11933,3849
2020-01-02 13:00:00,1.11929,1.1197,1.11896,1.11963,1.11932,1.11972,1.11899,1.11964,4684
2020-01-02 14:00:00,1.11963,1.11965,1.117,1.11741,1.11966,1.11966,1.11702,1.11742,6935
2020-01-02 15:00:00,1.11739,1.12023,1.11708,1.12005,1.1174,1.12026,1.1171,1.12007,7742
2020-01-02 16:00:00,1.12006,1.1203,1.11651,1.11661,1.12007,1.12032,1.11654,1.11664,6792
