date_gmt,open,high,low,close,volume
2022-05-11 01:30:00+00:00,1.0531,1.05321,1.0526,1.05301,2938199996.9481
2022-05-11 01:45:00+00:00,1.05302,1.0535,1.053,1.05338,2648310028.0762005
2022-05-11 02:00:00+00:00,1.05339,1.05381,1.05324,1.0537,2347409996.0325994
2022-05-11 02:15:00+00:00,1.05371,1.0538,1.05334,1.05345,1081409994.1255
2022-05-11 02:30:00+00:00,1.05345,1.05353,1.05304,1.05334,1269449981.6893
2022-05-11 02:45:00+00:00,1.05335,1.0535,1.05294,1.05349,1529130023.9564002
2022-05-11 03:00:00+00:00,1.05347,1.05369,1.05328,1.0536,1820490001.6782005
2022-05-11 03:15:00+00:00,1.0536,1.05386,1.0535,1.0538,557819999.6949
2022-05-11 03:30:00+00:00,1.05379,1.05379,1.05328,1.05343,792850000.3816
2022-05-11 03:45:00+00:00,1.05342,1.05393,1.05338,1.05369,1140210010.5285
2022-05-11 04:00:00+00:00,1.05367,1.05388,1.05343,1.05349,1202659996.0325005
2022-05-11 04:15:00+00:00,1.0535,1.05371,1.05341,1.0537,1349440002.4415998
2022-05-11 04:30:00+00:00,1.05371,1.05417,1.05353,1.0541,1170620002.7467
2022-05-11 04:45:00+00:00,1.05412,1.05435,1.05406,1.05414,879639994.0254
2022-05-11 05:00:00+00:00,1.05415,1.05441,1.05402,1.05441,789409999.8474998
2022-05-11 05:15:00+00:00,1.05441,1.05466,1.05436,1.0546,1826439998.6268
2022-05-11 05:30:00+00:00,1.05459,1.05504,1.05453,1.05455,1774340003.9671004
2022-05-11 05:45:00+00:00,1.05456,1.05474,1.05395,1.05462,1789860004.4253
2022-05-11 06:00:00+00:00,1.05461,1.05477,1.05388,1.05399,3251859970.0927
2022-05-11 06:15:00+00:00,1.05399,1.05494,1.05374,1.05446,3128490028.3814
2022-05-11 06:30:00+00:00,1.05445,1.05469,1.05402,1.05458,4161250038.1469007
2022-05-11 06:45:00+00:00,1.05458,1.0548,1.054,1.05418,2510329990.3871
2022-05-11 07:00:00+00:00,1.05421,1.05583,1.05421,1.05578,4925590057.3729
2022-05-11 07:15:00+00:00,1.05577,1.05611,1.05456,1.05529,3896030029.2969
2022-05-11 07:30:00+00:00,1.0553,1.05562,1.05496,1.0555,3477419998.1692
2022-05-11 07:45:00+00:00,1.05547,1.05584,1.05485,1.05525,3340590026.8555
2022-05-11 08:00:00+00:00,1.05526,1.05633,1.05496,1.05575,5920669982.9102
2022-05-11 08:15:00+00:00,1.05576,1.05629,1.05537,1.05581,4112689987.1827
2022-05-11 08:30:00+00:00,1.0558,1.05649,1.0552,1.05618,2506510009.7655005
2022-05-11 08:45:00+00:00,1.05618,1.05748,1.05607,1.0568,3639430015.5638
2022-05-11 09:00:00+00:00,1.0568,1.0576,1.05668,1.05745,2862000000.0
2022-05-11 09:15:00+00:00,1.05744,1.05748,1.05591,1.05631,2068299995.4221
2022-05-11 09:30:00+00:00,1.05632,1.05645,1.05575,1.05596,2137479995.7275
2022-05-11 09:45:00+00:00,1.05596,1.05644,1.05574,1.05636,2160530014.0381
2022-05-11 10:00:00+00:00,1.05635,1.05676,1.05563,1.05568,2615780029.2967
2022-05-11 10:15:00+00:00,1.05569,1.05594,1.05557,1.05563,1455169982.9099998
2022-05-11 10:30:00+00:00,1.05563,1.05575,1.055,1.05529,1404450000.7629
2022-05-11 10:45:00+00:00,1.0553,1.05554,1.05453,1.05465,1626210018.158
2022-05-11 11:00:00+00:00,1.05464,1.05551,1.05435,1.0554,2215170001.9838
2022-05-11 11:15:00+00:00,1.0554,1.05556,1.05455,1.05554,3026259979.248
2022-05-11 11:30:00+00:00,1.05553,1.0557,1.05454,1.05462,2444010009.7656
2022-05-11 11:45:00+00:00,1.05463,1.05516,1.05447,1.05452,2272709999.0845
2022-05-11 12:00:00+00:00,1.05453,1.05565,1.05453,1.05535,1839690002.4416003
2022-05-11 12:15:00+00:00,1.05534,1.05539,1.05448,1.05503,3182360008.2397995
2022-05-11 12:30:00+00:00,1.05508,1.05508,1.05021,1.05299,20552310058.593697
2022-05-11 12:45:00+00:00,1.05297,1.0538,1.05109,1.05211,17623069885.254097
2022-05-11 13:00:00+00:00,1.05208,1.05591,1.05181,1.0547,8772989898.681799
2022-05-11 13:15:00+00:00,1.05468,1.05649,1.05409,1.05593,8283289947.509601
2022-05-11 13:30:00+00:00,1.05594,1.05701,1.05494,1.05677,9149580017.09
2022-05-11 13:45:00+00:00,1.05674,1.05775,1.05517,1.05607,11629640014.648602
2022-05-11 14:00:00+00:00,1.05609,1.05705,1.05514,1.05544,11094059997.5587
2022-05-11 14:15:00+00:00,1.05544,1.05668,1.05512,1.05665,10110360015.8693
2022-05-11 14:30:00+00:00,1.05663,1.05686,1.05551,1.05616,11128769989.0136
2022-05-11 14:45:00+00:00,1.05616,1.05671,1.05444,1.05485,9131290008.545002
2022-05-11 15:00:00+00:00,1.05486,1.05504,1.05407,1.0546,7437450103.7596
2022-05-11 15:15:00+00:00,1.05459,1.05552,1.0539,1.05489,7746780029.296801
2022-05-11 15:30:00+00:00,1.05489,1.05551,1.05457,1.0547,7218320007.3242
2022-05-11 15:45:00+00:00,1.0547,1.05483,1.05329,1.05376,3803200042.7245
2022-05-11 16:00:00+00:00,1.05375,1.05451,1.05327,1.05403,2652800018.3107
2022-05-11 16:15:00+00:00,1.05401,1.05457,1.05309,1.05317,3225809967.0408998
2022-05-11 16:30:00+00:00,1.05316,1.054,1.05288,1.05396,3633430007.9345
2022-05-11 16:45:00+00:00,1.05395,1.05436,1.05306,1.05308,2507999961.8533006
2022-05-11 17:00:00+00:00,1.05309,1.05355,1.05266,1.0527,3142650001.5259
2022-05-11 17:15:00+00:00,1.05268,1.05335,1.05234,1.05244,2151239997.8639
