date_gmt,open_bid,high_bid,low_bid,close_bid,open_ask,high_ask,low_ask,close_ask,volume
2023-07-02 21:00:00,1.09094,1.09114,1.09074,1.09089,1.09136,1.09151,1.09102,1.09102,202
2023-07-02 22:00:00,1.09089,1.0913,1.09084,1.09092,1.09098,1.0914,1.09092,1.09105,1226
2023-07-02 23:00:00,1.09092,1.09102,1.09064,1.09075,1.09104,1.09106,1.0907,1.09078,1609
2023-07-03 00:00:00,1.09075,1.09096,1.09004,1.09014,1.09077,1.091,1.09006,1.09018,3280
2023-07-03 01:00:00,1.09014,1.09176,1.09011,1.0909,1.09017,1.09179,1.09014,1.09092,4309
2023-07-03 02:00:00,1.09092,1.09104,1.09064,1.09074,1.09093,1.09108,1.09067,1.09076,3181
2023-07-03 03:00:00,1.09074,1.09136,1.09064,1.09127,1.09077,1.0914,1.09066,1.09129,2804
2023-07-03 04:00:00,1.09127,1.09181,1.09125,1.09175,1.0913,1.09184,1.09126,1.09179,2677
2023-07-03 05:00:00,1.09174,1.0918,1.0903,1.09033,1.09178,1.09184,1.09033,1.09035,2741
2023-07-03 06:00:00,1.09032,1.09068,1.08881,1.08902,1.09035,1.0907,1.08883,1.08904,5564
2023-07-03 07:00:00,1.089,1.08907,1.08702,1.08749,1.08903,1.08911,1.08704,1.08754,6654
2023-07-03 08:00:00,1.08748,1.0889,1.0873,1.08862,1.08754,1.08893,1.08733,1.08865,4427
2023-07-03 09:00:00,1.08862,1.08917,1.0876,1.089,1.08866,1.0892,1.08763,1.08903,4197
2023-07-03 10:00:00,1.089,1.08961,1.08813,1.0892,1.08902,1.08964,1.08816,1.08923,3819
2023-07-03 11:00:00,1.0892,1.09047,1.08871,1.08991,1.08924,1.09049,1.08874,1.08994,4944
2023-07-03 12:00:00,1.08989,1.09101,1.08937,1.09088,1.0899,1.09102,1.0894,1.09091,4910
2023-07-03 13:00:00,1.09089,1.09204,1.09042,1.09136,1.09091,1.09206,1.09045,1.0914,6910
2023-07-03 14:00:00,1.09132,1.09339,1.09026,1.09067,1.09143,1.09342,1.09029,1.09068,10420
2023-07-03 15:00:00,1.09066,1.09228,1.09018,1.09181,1.09067,1.09232,1.09019,1.09184,5757
2023-07-03 16:00:00,1.09181,1.09212,1.09136,1.09155,1.09183,1.09215,1.09139,1.09158,3610
2023-07-03 17:00:00,1.09158,1.09163,1.09083,1.09083,1.09159,1.09166,1.09086,1.09087,1521
2023-07-03 18:00:00,1.09086,1.09126,1.09086,1.09118,1.09087,1.09128,1.09087,1.09119,1419
2023-07-03 19:00:00,1.09118,1.09118,1.09092,1.09092,1.0912,1.0912,1.09095,1.09095,828
2023-07-03 20:00:00,1.09092,1.09144,1.09088,1.09119,1.09094,1.09153,1.09091,1.0914,687
2023-07-03 21:00:00,1.09119,1.09139,1.091,1.09112,1.09138,1.09159,1.09134,1.09134,257
2023-07-03 22:00:00,1.0911,1.09153,1.09108,1.09125,1.09139,1.09158,1.09129,1.09131,723
2023-07-03 23:00:00,1.09124,1.09149,1.09121,1.09128,1.09131,1.09152,1.09124,1.09131,778
2023-07-04 00:00:00,1.09127,1.09136,1.09085,1.09097,1.09131,1.09139,1.09088,1.091,2045
2023-07-04 01:00:00,1.09098,1.09163,1.0908,1.09107,1.091,1.09166,1.09084,1.0911,2320
2023-07-04 02:00:00,1.09106,1.09113,1.09024,1.09055,1.09107,1.09117,1.09026,1.09058,1814
2023-07-04 03:00:00,1.09054,1.09091,1.09039,1.09044,1.09056,1.09094,1.09043,1.09047,1586
2023-07-04 04:00:00,1.09046,1.09054,1.09005,1.09005,1.09047,1.09057,1.09007,1.09008,2584
2023-07-04 05:00:00,1.09004,1.09011,1.08939,1.08953,1.09006,1.09014,1.08943,1.08957,2237
2023-07-04 06:00:00,1.08952,1.09146,1.08951,1.09146,1.08957,1.0915,1.08955,1.0915,3658
2023-07-04 07:00:00,1.09146,1.09146,1.08961,1.09027,1.09149,1.09149,1.08964,1.09031,4454
2023-07-04 08:00:00,1.09028,1.09045,1.08921,1.08954,1.09031,1.09047,1.08923,1.08956,3768
2023-07-04 09:00:00,1.08954,1.09029,1.08944,1.08985,1.08957,1.09032,1.08947,1.08988,3479
2023-07-04 10:00:00,1.08984,1.09038,1.08954,1.08959,1.08988,1.0904,1.08956,1.08962,3050
2023-07-04 11:00:00,1.08961,1.09021,1.08897,1.08982,1.08962,1.09023,1.08898,1.08985,2877
2023-07-04 12:00:00,1.08982,1.0901,1.08936,1.09006,1.08984,1.09013,1.08939,1.09009,3038
2023-07-04 13:00:00,1.09006,1.09011,1.08959,1.08997,1.09008,1.09015,1.08962,1.09001,2887
2023-07-04 14:00:00,1.08998,1.09074,1.08982,1.09018,1.09001,1.09077,1.08985,1.09021,2907
2023-07-04 15:00:00,1.09018,1.09027,1.08965,1.0901,1.0902,1.09028,1.08968,1.09013,2644
2023-07-04 16:00:00,1.09009,1.09012,1.08919,1.08943,1.09012,1.09016,1.08921,1.08946,2263
2023-07-04 17:00:00,1.08944,1.08971,1.08931,1.08938,1.08946,1.08975,1.08933,1.08941,737
2023-07-04 18:00:00,1.08937,1.08959,1.08869,1.08873,1.08941,1.08963,1.08871,1.08877,644
2023-07-04 19:00:00,1.08874,1.08878,1.08809,1.08832,1.08877,1.0888,1.08811,1.08836,991
2023-07-04 20:00:00,1.08833,1.08835,1.08768,1.08778,1.08836,1.08839,1.08772,1.08807,1002
2023-07-04 21:00:00,1.08779,1.08821,1.08779,1.08791,1.08807,1.08842,1.08792,1.08807,613
2023-07-04 22:00:00,1.0879,1.08815,1.08773,1.08804,1.08807,1.0882,1.08775,1.0881,828
2023-07-04 23:00:00,1.08804,1.08832,1.08794,1.08824,1.08809,1.08835,1.08798,1.08827,1105
2023-07-05 00:00:00,1.08827,1.08908,1.08825,1.08867,1.08829,1.08911,1.08828,1.08869,2439
2023-07-05 01:00:00,1.08866,1.0887,1.08762,1.08769,1.08869,1.08873,1.08765,1.08772,3307
2023-07-05 02:00:00,1.08769,1.08783,1.0875,1.08781,1.08773,1.08786,1.08751,1.08783,2332
2023-07-05 03:00:00,1.08782,1.08792,1.08751,1.08773,1.08784,1.08794,1.08755,1.08775,2020
2023-07-05 04:00:00,1.08774,1.08775,1.0875,1.08756,1.08775,1.08777,1.08753,1.08759,1683
2023-07-05 05:00:00,1.08755,1.08838,1.08677,1.08812,1.08756,1.08842,1.0868,1.08816,2689
