date_gmt,open_bid,high_bid,low_bid,close_bid,open_ask,high_ask,low_ask,close_ask,volume
2023-01-01 22:00:00,1.0697,1.07066,1.06899,1.06899,1.07092,1.07152,1.07091,1.07091,40
2023-01-01 22:15:00,1.06788,1.06788,1.06788,1.06788,1.07119,1.0713,1.07109,1.07114,7
2023-01-01 22:30:00,1.06904,1.06958,1.06904,1.06956,1.06966,1.0702,1.06966,1.07018,24
2023-01-01 22:45:00,1.06962,1.07061,1.06823,1.06929,1.07024,1.07209,1.06924,1.07041,616
2023-01-01 23:00:00,1.06896,1.0704,1.06829,1.06895,1.07008,1.07076,1.06964,1.07007,127
2023-01-01 23:15:00,1.06933,1.07047,1.06849,1.0695,1.07045,1.0717,1.06961,1.0705,238
2023-01-01 23:30:00,1.0695,1.06997,1.06923,1.06944,1.07062,1.07109,1.07035,1.07056,665
2023-01-01 23:45:00,1.06947,1.07012,1.06942,1.07005,1.07059,1.07123,1.07053,1.07117,228
2023-01-02 00:00:00,1.07007,1.07034,1.06994,1.07,1.07119,1.07129,1.07106,1.0711,126
2023-01-02 00:15:00,1.07006,1.07007,1.06948,1.06977,1.07118,1.07118,1.0701,1.07024,209
2023-01-02 00:30:00,1.06975,1.07018,1.06912,1.06949,1.07024,1.07091,1.06961,1.07055,399
2023-01-02 00:45:00,1.06949,1.07058,1.06942,1.0704,1.07054,1.07131,1.07039,1.07101,465
2023-01-02 01:00:00,1.07041,1.07087,1.07028,1.07038,1.07102,1.07127,1.07096,1.07105,284
2023-01-02 01:15:00,1.07045,1.07047,1.07026,1.07029,1.07105,1.07111,1.07099,1.071,123
2023-01-02 01:30:00,1.07029,1.07046,1.07013,1.07013,1.07101,1.07101,1.07057,1.07061,96
2023-01-02 01:45:00,1.07012,1.07035,1.06919,1.06977,1.07061,1.07077,1.0695,1.07028,226
2023-01-02 02:00:00,1.06977,1.06977,1.06862,1.06877,1.07027,1.07045,1.06915,1.06958,192
2023-01-02 02:15:00,1.06877,1.06917,1.06877,1.06909,1.06961,1.07019,1.06956,1.07008,143
2023-01-02 02:30:00,1.06909,1.06915,1.06888,1.06902,1.06999,1.07019,1.06999,1.07014,130
2023-01-02 02:45:00,1.06909,1.06925,1.0688,1.06904,1.07014,1.07019,1.06976,1.07004,173
2023-01-02 03:00:00,1.06904,1.06905,1.06892,1.06896,1.07005,1.07013,1.06976,1.06986,204
2023-01-02 03:15:00,1.06895,1.06904,1.06889,1.06904,1.06986,1.07016,1.06981,1.07016,146
2023-01-02 03:30:00,1.06896,1.07027,1.06893,1.06901,1.07008,1.07039,1.06976,1.06996,198
2023-01-02 03:45:00,1.06902,1.06908,1.06886,1.06899,1.06996,1.07017,1.06955,1.07011,154
2023-01-02 04:00:00,1.06896,1.0702,1.06887,1.06997,1.07008,1.07061,1.06956,1.07045,441
2023-01-02 04:15:00,1.07005,1.07008,1.06991,1.07002,1.07046,1.07066,1.07041,1.0706,151
2023-01-02 04:30:00,1.06996,1.07004,1.06986,1.06992,1.07058,1.07064,1.07043,1.07046,345
2023-01-02 04:45:00,1.06991,1.07,1.06989,1.06993,1.07046,1.07061,1.07045,1.07047,427
2023-01-02 05:00:00,1.06994,1.06997,1.06882,1.06946,1.07044,1.07052,1.06904,1.07001,366
2023-01-02 05:15:00,1.06947,1.06966,1.06915,1.06921,1.07001,1.07011,1.06939,1.06961,200
2023-01-02 05:30:00,1.06921,1.06968,1.06918,1.06949,1.06956,1.06981,1.06951,1.06963,397
2023-01-02 05:45:00,1.0695,1.06996,1.06872,1.06938,1.06963,1.07028,1.06924,1.07,482
2023-01-02 06:00:00,1.06943,1.06996,1.06923,1.06941,1.07005,1.0702,1.06949,1.06966,576
