date_gmt,open_bid,high_bid,low_bid,close_bid,open_ask,high_ask,low_ask,close_ask,volume
2025-01-01 22:00:00,1.03503,1.03519,1.03483,1.03485,1.03591,1.03612,1.03515,1.0356,80
2025-01-01 22:15:00,1.03485,1.03546,1.03485,1.03543,1.03574,1.0358,1.03558,1.0358,99
2025-01-01 22:30:00,1.03542,1.03573,1.03526,1.03566,1.0358,1.03609,1.03576,1.03582,554
2025-01-01 22:45:00,1.03561,1.03577,1.0355,1.0355,1.03582,1.03599,1.03574,1.03583,590
2025-01-01 23:00:00,1.0355,1.03563,1.03501,1.03536,1.03582,1.0359,1.03525,1.03541,512
2025-01-01 23:15:00,1.03536,1.03543,1.03513,1.03513,1.03538,1.03547,1.03516,1.03518,386
2025-01-01 23:30:00,1.03515,1.03517,1.03462,1.03491,1.03518,1.0352,1.03468,1.03495,487
2025-01-01 23:45:00,1.03491,1.03531,1.03491,1.03507,1.03496,1.03536,1.03495,1.03511,596
2025-01-02 00:00:00,1.03508,1.03518,1.03491,1.03493,1.03511,1.03522,1.03494,1.03497,475
2025-01-02 00:15:00,1.03492,1.03513,1.03472,1.03506,1.03496,1.03516,1.03476,1.0351,541
2025-01-02 00:30:00,1.03505,1.03516,1.03485,1.03508,1.03509,1.0352,1.03489,1.03512,391
2025-01-02 00:45:00,1.03509,1.03564,1.03503,1.0352,1.03512,1.03567,1.03506,1.03523,652
2025-01-02 01:00:00,1.03521,1.03521,1.03442,1.03489,1.03523,1.03523,1.03444,1.03493,1357
2025-01-02 01:15:00,1.03489,1.03538,1.03463,1.03508,1.03492,1.03541,1.03466,1.03512,1109
2025-01-02 01:30:00,1.03509,1.03606,1.03489,1.03581,1.03512,1.03611,1.03492,1.03586,823
2025-01-02 01:45:00,1.03581,1.03598,1.03572,1.03578,1.03585,1.03601,1.03575,1.03581,653
2025-01-02 02:00:00,1.03577,1.03613,1.03577,1.03602,1.03581,1.03616,1.0358,1.03605,586
2025-01-02 02:15:00,1.03602,1.03635,1.03594,1.0363,1.03604,1.03638,1.03598,1.03634,373
2025-01-02 02:30:00,1.0363,1.03671,1.03629,1.03668,1.03633,1.03675,1.03631,1.03671,289
2025-01-02 02:45:00,1.03667,1.03712,1.03662,1.03709,1.0367,1.03714,1.03666,1.03712,379
2025-01-02 03:00:00,1.03711,1.03732,1.03705,1.03713,1.03712,1.03737,1.03707,1.03717,392
2025-01-02 03:15:00,1.03717,1.03717,1.03682,1.03704,1.03718,1.0372,1.03684,1.03707,339
2025-01-02 03:30:00,1.03707,1.0374,1.037,1.03718,1.03708,1.03745,1.03703,1.03723,497
2025-01-02 03:45:00,1.03718,1.03725,1.03694,1.03715,1.03722,1.03729,1.03696,1.03718,291
2025-01-02 04:00:00,1.03716,1.03756,1.03716,1.03743,1.03718,1.03758,1.03718,1.03746,318
