date_gmt,open,high,low,close,volume
10.05.2020 00:00:00.000000,1.08265,1.08395,1.08239,1.08377,8709160156.25
11.05.2020 00:00:00.000000,1.08377,1.08504,1.08005,1.08093,212806218750.0
12.05.2020 00:00:00.000000,1.08093,1.08851,1.07843,1.08454,207027484375.0
13.05.2020 00:00:00.000000,1.08455,1.08965,1.08116,1.0821,228996500000.0
14.05.2020 00:00:00.000000,1.0821,1.08239,1.07748,1.0806,213993203125.0
15.05.2020 00:00:00.000000,1.08061,1.08509,1.07888,1.08183,198840125000.0
16.05.2020 00:00:00.000000,1.08183,1.08183,1.08183,1.08183,0.0
17.05.2020 00:00:00.000000,1.08088,1.08231,1.08067,1.08186,6917030761.7188
18.05.2020 00:00:00.000000,1.08186,1.0927,1.07999,1.09139,204151859375.0
19.05.2020 00:00:00.000000,1.09138,1.09759,1.09021,1.0926,247821062500.0
20.05.2020 00:00:00.000000,1.09262,1.09989,1.09262,1.09796,211258437500.0
21.05.2020 00:00:00.000000,1.09794,1.10083,1.09371,1.0949,175874296875.0
22.05.2020 00:00:00.000000,1.09491,1.09535,1.08852,1.0898,156656812500.0
23.05.2020 00:00:00.000000,1.0898,1.0898,1.0898,1.0898,0.0
24.05.2020 00:00:00.000000,1.08956,1.09083,1.08951,1.09079,4079340087.8906
25.05.2020 00:00:00.000000,1.0908,1.09144,1.08706,1.09016,98775984375.0
26.05.2020 00:00:00.000000,1.09015,1.09957,1.08969,1.09784,207536281250.0
27.05.2020 00:00:00.000000,1.09785,1.10307,1.0934,1.10166,319490562500.0
28.05.2020 00:00:00.000000,1.10165,1.10934,1.09916,1.10779,231205203125.0
29.05.2020 00:00:00.000000,1.10778,1.11451,1.10698,1.11036,373017437500.0
30.05.2020 00:00:00.000000,1.11036,1.11036,1.11036,1.11036,0.0
31.05.2020 00:00:00.000000,1.11129,1.11195,1.11023,1.11156,9217483398.4375
01.06.2020 00:00:00.000000,1.11155,1.1154,1.11004,1.11251,240616062500.0
02.06.2020 00:00:00.000000,1.11252,1.11959,1.11151,1.11851,276683468750.0
03.06.2020 00:00:00.000000,1.1185,1.12577,1.11795,1.12349,242084625000.0
04.06.2020 00:00:00.000000,1.1235,1.13623,1.11947,1.13354,275772812500.0
05.06.2020 00:00:00.000000,1.13357,1.13836,1.12784,1.12911,263541625000.0
06.06.2020 00:00:00.000000,1.12911,1.12911,1.12911,1.12911,0.0
07.06.2020 00:00:00.000000,1.12934,1.13198,1.1293,1.1316,6413017089.8438
08.06.2020 00:00:00.000000,1.1316,1.13185,1.12682,1.1304,199303515625.0
09.06.2020 00:00:00.000000,1.1304,1.13638,1.12409,1.1332,237762343750.0
10.06.2020 00:00:00.000000,1.1332,1.14224,1.13219,1.13667,252826734375.0
11.06.2020 00:00:00.000000,1.13668,1.14036,1.1287,1.12879,306096312500.0
12.06.2020 00:00:00.000000,1.12881,1.13405,1.12125,1.1255,296425750000.0
13.06.2020 00:00:00.000000,1.1255,1.1255,1.1255,1.1255,0.0
14.06.2020 00:00:00.000000,1.12329,1.12582,1.12262,1.12515,17507605468.75
15.06.2020 00:00:00.000000,1.12516,1.1338,1.12267,1.13375,281658125000.0
16.06.2020 00:00:00.000000,1.13376,1.13532,1.12278,1.12648,237631656250.0
17.06.2020 00:00:00.000000,1.12649,1.12939,1.12068,1.12419,248307187500.0
18.06.2020 00:00:00.000000,1.12419,1.12613,1.11854,1.12076,234913468750.0
19.06.2020 00:00:00.000000,1.12075,1.12542,1.1168,1.11759,232203718750.0
20.06.2020 00:00:00.000000,1.11759,1.11759,1.11759,1.11759,0.0
21.06.2020 00:00:00.000000,1.11835,1.11874,1.11684,1.11766,6131225097.6563
22.06.2020 00:00:00.000000,1.11766,1.12809,1.11737,1.12776,184243796875.0
23.06.2020 00:00:00.000000,1.12775,1.13486,1.1233,1.13124,233937062500.0
24.06.2020 00:00:00.000000,1.13124,1.13257,1.12481,1.12499,231619328125.0
25.06.2020 00:00:00.000000,1.125,1.12597,1.11903,1.12179,240800359375.0
26.06.2020 00:00:00.000000,1.12179,1.12393,1.11951,1.1217,162424875000.0
27.06.2020 00:00:00.000000,1.1217,1.1217,1.1217,1.1217,0.0
28.06.2020 00:00:00.000000,1.12149,1.1228,1.12149,1.12219,5271768066.4063
29.06.2020 00:00:00.000000,1.12219,1.12879,1.12193,1.12467,181085531250.0
30.06.2020 00:00:00.000000,1.12466,1.12619,1.1191,1.12335,194383562500.0
01.07.2020 00:00:00.000000,1.12336,1.12751,1.11848,1.12511,189129453125.0
02.07.2020 00:00:00.000000,1.12511,1.13026,1.12233,1.12372,183464500000.0
03.07.2020 00:00:00.000000,1.12373,1.12518,1.12192,1.12464,140495281250.0
04.07.2020 00:00:00.000000,1.12464,1.12464,1.12464,1.12464,0.0
05.07.2020 00:00:00.000000,1.12433,1.12494,1.12411,1.12466,2507875000.0
06.07.2020 00:00:00.000000,1.12467,1.13454,1.12467,1.13123,145664625000.0
07.07.2020 00:00:00.000000,1.13123,1.13325,1.12588,1.12744,162703359375.0
08.07.2020 00:00:00.000000,1.12745,1.13518,1.12623,1.13372,163826265625.0
09.07.2020 00:00:00.000000,1.13372,1.13706,1.12801,1.12879,195471484375.0
10.07.2020 00:00:00.000000,1.12881,1.13247,1.12547,1.1299,178134687500.0
11.07.2020 00:00:00.000000,1.1299,1.1299,1.1299,1.1299,0.0
12.07.2020 00:00:00.000000,1.13039,1.13173,1.13026,1.13085,5807625000.0
13.07.2020 00:00:00.000000,1.13086,1.13748,1.13008,1.13447,248162671875.0
14.07.2020 00:00:00.000000,1.13447,1.14123,1.13251,1.14099,354217156250.0
15.07.2020 00:00:00.000000,1.141,1.1452,1.1391,1.14168,303168687500.0
16.07.2020 00:00:00.000000,1.14168,1.14417,1.13704,1.13878,293660718750.0
17.07.2020 00:00:00.000000,1.13877,1.14436,1.13774,1.14269,168987203125.0
18.07.2020 00:00:00.000000,1.14269,1.14269,1.14269,1.14269,0.0
19.07.2020 00:00:00.000000,1.14084,1.14456,1.14084,1.14421,7678563476.5625
20.07.2020 00:00:00.000000,1.14421,1.14677,1.14023,1.14557,284703875000.0
21.07.2020 00:00:00.000000,1.14559,1.15423,1.14228,1.1535,385745031250.0
22.07.2020 00:00:00.000000,1.1535,1.16013,1.15068,1.15646,468570812500.0
23.07.2020 00:00:00.000000,1.15647,1.16268,1.15403,1.15952,357357406250.0
24.07.2020 00:00:00.000000,1.15953,1.1658,1.15812,1.16546,407293218750.0
25.07.2020 00:00:00.000000,1.16546,1.16546,1.16546,1.16546,0.0
26.07.2020 00:00:00.000000,1.1643,1.16555,1.16413,1.16495,16069089843.75
27.07.2020 00:00:00.000000,1.16496,1.17813,1.16494,1.17682,338699437500.0
28.07.2020 00:00:00.000000,1.17681,1.17736,1.16987,1.17185,336526187500.0
29.07.2020 00:00:00.000000,1.17185,1.18061,1.17139,1.17806,341900187500.0
30.07.2020 00:00:00.000000,1.17809,1.18762,1.17308,1.18719,354825062500.0
31.07.2020 00:00:00.000000,1.18718,1.19087,1.17617,1.17753,553539375000.0
01.08.2020 00:00:00.000000,1.17753,1.17753,1.17753,1.17753,0.0
02.08.2020 00:00:00.000000,1.17725,1.17966,1.17717,1.1781,7695743652.3438
03.08.2020 00:00:00.000000,1.17809,1.17887,1.16959,1.17603,312773718750.0
04.08.2020 00:00:00.000000,1.17603,1.18148,1.17211,1.18136,449648843750.0
05.08.2020 00:00:00.000000,1.18135,1.19048,1.17992,1.1872,1039918437500.0
06.08.2020 00:00:00.000000,1.18721,1.1916,1.18179,1.18752,1280256875000.0
07.08.2020 00:00:00.000000,1.18753,1.18818,1.17551,1.17862,430356406250.0
08.08.2020 00:00:00.000000,1.17862,1.17862,1.17862,1.17862,0.0
09.08.2020 00:00:00.000000,1.17886,1.17896,1.17732,1.1781,7007450195.3125
10.08.2020 00:00:00.000000,1.1781,1.18006,1.17357,1.1736,299071031250.0
11.08.2020 00:00:00.000000,1.1736,1.1808,1.17219,1.17347,587871125000.0
12.08.2020 00:00:00.000000,1.17348,1.1817,1.1711,1.17939,625327187500.0
13.08.2020 00:00:00.000000,1.17939,1.18641,1.17934,1.18155,453052593750.0
14.08.2020 00:00:00.000000,1.18153,1.18503,1.17817,1.18414,329642937500.0
15.08.2020 00:00:00.000000,1.18414,1.18414,1.18414,1.18414,0.0
16.08.2020 00:00:00.000000,1.18389,1.18528,1.18324,1.18518,3805850341.7969
17.08.2020 00:00:00.000000,1.18518,1.18809,1.18286,1.18745,302891156250.0
18.08.2020 00:00:00.000000,1.18745,1.19656,1.18742,1.19464,326668812500.0
19.08.2020 00:00:00.000000,1.19463,1.19526,1.18302,1.18437,530337500000.0
20.08.2020 00:00:00.000000,1.1844,1.18711,1.18019,1.18695,426169531250.0
21.08.2020 00:00:00.000000,1.18694,1.18828,1.17541,1.17949,382701125000.0
22.08.2020 00:00:00.000000,1.17949,1.17949,1.17949,1.17949,0.0
23.08.2020 00:00:00.000000,1.17911,1.18065,1.17911,1.17981,6345941894.5313
24.08.2020 00:00:00.000000,1.17981,1.18495,1.17841,1.17934,214786515625.0
25.08.2020 00:00:00.000000,1.17934,1.18435,1.17841,1.18339,421864812500.0
26.08.2020 00:00:00.000000,1.1834,1.18406,1.17721,1.184,274338531250.0
27.08.2020 00:00:00.000000,1.18403,1.19018,1.17623,1.18205,467429656250.0
28.08.2020 00:00:00.000000,1.18205,1.19197,1.18109,1.19018,567104000000.0
29.08.2020 00:00:00.000000,1.19018,1.19018,1.19018,1.19018,0.0
30.08.2020 00:00:00.000000,1.18998,1.19202,1.18996,1.19171,8330426757.8125
31.08.2020 00:00:00.000000,1.1917,1.1966,1.1884,1.19367,995787625000.0
01.09.2020 00:00:00.000000,1.19368,1.20113,1.19013,1.19226,376195281250.0
02.09.2020 00:00:00.000000,1.19224,1.19239,1.18221,1.18457,739082437500.0
03.09.2020 00:00:00.000000,1.18458,1.18646,1.17889,1.18412,892492062500.0
04.09.2020 00:00:00.000000,1.18413,1.18654,1.17809,1.18371,952444750000.0
05.09.2020 00:00:00.000000,1.18371,1.18371,1.18371,1.18371,0.0
06.09.2020 00:00:00.000000,1.18432,1.18469,1.18319,1.18342,15545362304.6875
07.09.2020 00:00:00.000000,1.18342,1.18486,1.18116,1.18188,471436875000.0
08.09.2020 00:00:00.000000,1.18187,1.18273,1.1757,1.17667,908454125000.0
09.09.2020 00:00:00.000000,1.17667,1.18339,1.17527,1.18037,842865562500.0
10.09.2020 00:00:00.000000,1.18035,1.19175,1.18004,1.18234,1083338875000.0
