Gmt time,Open,High,Low,Close,Volume
10.05.2020 00:00:00.000,1.08287,1.08410,1.08254,1.08382,7867220214.8438
11.05.2020 00:00:00.000,1.08381,1.08507,1.08010,1.08096,207997765625
12.05.2020 00:00:00.000,1.08095,1.08853,1.07846,1.08459,153324609375
13.05.2020 00:00:00.000,1.08459,1.08967,1.08118,1.08214,153761296875
14.05.2020 00:00:00.000,1.08213,1.08242,1.07751,1.08064,117488703125
15.05.2020 00:00:00.000,1.08064,1.08510,1.07892,1.08198,130958742187.5
16.05.2020 00:00:00.000,1.08198,1.08198,1.08198,1.08198,0
17.05.2020 00:00:00.000,1.08155,1.08236,1.08116,1.08189,6476162597.6563
18.05.2020 00:00:00.000,1.08188,1.09272,1.08001,1.09143,199194031250
19.05.2020 00:00:00.000,1.09140,1.09763,1.09024,1.09263,236662781250
20.05.2020 00:00:00.000,1.09264,1.09992,1.09264,1.09799,212932984375
21.05.2020 00:00:00.000,1.09797,1.10086,1.09374,1.09494,214879375000
22.05.2020 00:00:00.000,1.09494,1.09539,1.08855,1.09063,184402843750
23.05.2020 00:00:00.000,1.09063,1.09063,1.09063,1.09063,0
24.05.2020 00:00:00.000,1.08973,1.09086,1.08963,1.09083,4555382324.2188
25.05.2020 00:00:00.000,1.09083,1.09147,1.08707,1.09019,117597046875
26.05.2020 00:00:00.000,1.09019,1.09960,1.08970,1.09787,221915437500
27.05.2020 00:00:00.000,1.09788,1.10311,1.09342,1.10169,339215875000
28.05.2020 00:00:00.000,1.10168,1.10937,1.09919,1.10782,290715468750
29.05.2020 00:00:00.000,1.10780,1.11452,1.10702,1.11071,330692406250
30.05.2020 00:00:00.000,1.11071,1.11071,1.11071,1.11071,0
31.05.2020 00:00:00.000,1.11213,1.11217,1.11028,1.11158,10126416992.1875
01.06.2020 00:00:00.000,1.11158,1.11541,1.11007,1.11255,267258750000
02.06.2020 00:00:00.000,1.11255,1.11962,1.11153,1.11855,309623031250
03.06.2020 00:00:00.000,1.11855,1.12580,1.11800,1.12354,253036890625
04.06.2020 00:00:00.000,1.12354,1.13625,1.11948,1.13358,284840968750
05.06.2020 00:00:00.000,1.13359,1.13840,1.12787,1.12920,269538437500
06.06.2020 00:00:00.000,1.12920,1.12920,1.12920,1.12920,0
07.06.2020 00:00:00.000,1.12961,1.13200,1.12939,1.13163,7698315429.6875
08.06.2020 00:00:00.000,1.13161,1.13189,1.12684,1.13044,203479281250
09.06.2020 00:00:00.000,1.13043,1.13640,1.12411,1.13324,234215593750
10.06.2020 00:00:00.000,1.13322,1.14227,1.13221,1.13671,257653687500
11.06.2020 00:00:00.000,1.13672,1.14040,1.12874,1.12883,323180843750
12.06.2020 00:00:00.000,1.12883,1.13407,1.12127,1.12564,300773250000
13.06.2020 00:00:00.000,1.12564,1.12564,1.12564,1.12564,0
14.06.2020 00:00:00.000,1.12353,1.12585,1.12270,1.12520,12909456054.6875
15.06.2020 00:00:00.000,1.12521,1.13383,1.12271,1.13379,290129906250
16.06.2020 00:00:00.000,1.13379,1.13536,1.12281,1.12653,270857375000
17.06.2020 00:00:00.000,1.12653,1.12942,1.12071,1.12422,250705984375
18.06.2020 00:00:00.000,1.12421,1.12616,1.11858,1.12081,234315140625
19.06.2020 00:00:00.000,1.12081,1.12547,1.11683,1.11788,206725609375
20.06.2020 00:00:00.000,1.11788,1.11788,1.11788,1.11788,0
21.06.2020 00:00:00.000,1.11900,1.11900,1.11687,1.11769,6650278808.5938
22.06.2020 00:00:00.000,1.11770,1.12813,1.11742,1.12779,184088656250
23.06.2020 00:00:00.000,1.12779,1.13487,1.12333,1.13127,233449734375
24.06.2020 00:00:00.000,1.13128,1.13261,1.12485,1.12503,233666578125
25.06.2020 00:00:00.000,1.12503,1.12599,1.11906,1.12182,227689046875
26.06.2020 00:00:00.000,1.12183,1.12395,1.11954,1.12204,162740375000
27.06.2020 00:00:00.000,1.12204,1.12204,1.12204,1.12204,0
28.06.2020 00:00:00.000,1.12221,1.12318,1.12175,1.12222,4317794921.875
29.06.2020 00:00:00.000,1.12223,1.12881,1.12197,1.12469,174544562500
30.06.2020 00:00:00.000,1.12469,1.12621,1.11912,1.12338,207597781250
01.07.2020 00:00:00.000,1.12338,1.12753,1.11850,1.12515,195263312500
02.07.2020 00:00:00.000,1.12514,1.13030,1.12236,1.12376,179968750000
03.07.2020 00:00:00.000,1.12377,1.12533,1.12195,1.12510,148730437500
04.07.2020 00:00:00.000,1.12510,1.12510,1.12510,1.12510,0
05.07.2020 00:00:00.000,1.12459,1.12498,1.12435,1.12471,2700379882.8125
06.07.2020 00:00:00.000,1.12471,1.13457,1.12471,1.13128,166447609375
07.07.2020 00:00:00.000,1.13127,1.13328,1.12589,1.12747,182238453125
08.07.2020 00:00:00.000,1.12747,1.13519,1.12626,1.13376,183068750000
09.07.2020 00:00:00.000,1.13375,1.13709,1.12805,1.12883,256830359375
10.07.2020 00:00:00.000,1.12883,1.13250,1.12550,1.13003,213508234375
11.07.2020 00:00:00.000,1.13003,1.13003,1.13003,1.13003,0
12.07.2020 00:00:00.000,1.13064,1.13177,1.13043,1.13090,6265272460.9375
13.07.2020 00:00:00.000,1.13090,1.13751,1.13011,1.13452,288817781250
14.07.2020 00:00:00.000,1.13451,1.14126,1.13253,1.14105,382645500000
15.07.2020 00:00:00.000,1.14105,1.14522,1.13912,1.14173,267084375000
16.07.2020 00:00:00.000,1.14171,1.14419,1.13707,1.13882,349405343750
17.07.2020 00:00:00.000,1.13882,1.14439,1.13778,1.14285,176293140625
18.07.2020 00:00:00.000,1.14285,1.14285,1.14285,1.14285,0
19.07.2020 00:00:00.000,1.14166,1.14460,1.14166,1.14425,7222481445.3125
20.07.2020 00:00:00.000,1.14425,1.14680,1.14027,1.14560,275012281250
21.07.2020 00:00:00.000,1.14560,1.15425,1.14232,1.15353,357971156250
22.07.2020 00:00:00.000,1.15354,1.16015,1.15070,1.15650,414581875000
23.07.2020 00:00:00.000,1.15650,1.16270,1.15405,1.15955,404258031250
24.07.2020 00:00:00.000,1.15956,1.16583,1.15815,1.16565,336629375000
25.07.2020 00:00:00.000,1.16565,1.16565,1.16565,1.16565,0
26.07.2020 00:00:00.000,1.16466,1.16559,1.16424,1.16499,13434924804.6875
27.07.2020 00:00:00.000,1.16499,1.17816,1.16498,1.17684,331726156250
28.07.2020 00:00:00.000,1.17684,1.17739,1.16990,1.17190,398499375000
29.07.2020 00:00:00.000,1.17189,1.18068,1.17144,1.17810,358370031250
30.07.2020 00:00:00.000,1.17810,1.18768,1.17311,1.18724,381358750000
31.07.2020 00:00:00.000,1.18724,1.19091,1.17618,1.17839,394748875000
01.08.2020 00:00:00.000,1.17839,1.17839,1.17839,1.17839,0
02.08.2020 00:00:00.000,1.17758,1.17971,1.17724,1.17816,9921601562.5
03.08.2020 00:00:00.000,1.17813,1.17891,1.16961,1.17605,290316000000
04.08.2020 00:00:00.000,1.17606,1.18151,1.17215,1.18139,458398000000
05.08.2020 00:00:00.000,1.18138,1.19051,1.17996,1.18725,936881812500
06.08.2020 00:00:00.000,1.18724,1.19163,1.18181,1.18757,715918500000
