Gmt time,Open,High,Low,Close,Volume
10.05.2022 00:00:00.000,1.05635,1.05647,1.05559,1.05566,1233490009.3077002
10.05.2022 00:15:00.000,1.05567,1.05625,1.05536,1.05610,2519210029.6021004
10.05.2022 00:30:00.000,1.05609,1.05654,1.05590,1.05603,2022949996.9482
10.05.2022 00:45:00.000,1.05604,1.05644,1.05563,1.05591,2623300018.3104
10.05.2022 01:00:00.000,1.05591,1.05680,1.05555,1.05676,3237470031.7384
10.05.2022 01:15:00.000,1.05674,1.05692,1.05631,1.05641,2088210006.7141998
10.05.2022 01:30:00.000,1.05638,1.05678,1.05605,1.05618,2261059997.5585003
10.05.2022 01:45:00.000,1.05619,1.05681,1.05596,1.05628,2481919982.9101
10.05.2022 02:00:00.000,1.05628,1.05719,1.05601,1.05710,2644889999.3897004
10.05.2022 02:15:00.000,1.05712,1.05782,1.05695,1.05772,2014270008.0872
10.05.2022 02:30:00.000,1.05771,1.05801,1.05720,1.05745,1837330001.8311002
10.05.2022 02:45:00.000,1.05744,1.05766,1.05699,1.05729,1616900001.5259001
10.05.2022 03:00:00.000,1.05728,1.05749,1.05705,1.05716,1126949998.8556
10.05.2022 03:15:00.000,1.05713,1.05728,1.05696,1.05710,1175299995.4225001
10.05.2022 03:30:00.000,1.05711,1.05765,1.05701,1.05755,904799997.3296
10.05.2022 03:45:00.000,1.05753,1.05799,1.05742,1.05790,1281210018.1577
10.05.2022 04:00:00.000,1.05790,1.05812,1.05774,1.05781,1311870006.5612998
10.05.2022 04:15:00.000,1.05783,1.05801,1.05746,1.05747,816909996.0327
10.05.2022 04:30:00.000,1.05748,1.05812,1.05742,1.05783,656509994.9836999
10.05.2022 04:45:00.000,1.05781,1.05805,1.05759,1.05759,626689996.7195998
10.05.2022 05:00:00.000,1.05758,1.05792,1.05741,1.05787,1370039972.3052
10.05.2022 05:15:00.000,1.05786,1.05807,1.05740,1.05794,2001579986.5721
10.05.2022 05:30:00.000,1.05793,1.05856,1.05767,1.05826,1725110004.4252
10.05.2022 05:45:00.000,1.05826,1.05847,1.05761,1.05768,1578920013.4276
10.05.2022 06:00:00.000,1.05768,1.05795,1.05702,1.05736,2702759979.2482
10.05.2022 06:15:00.000,1.05735,1.05756,1.05666,1.05668,2088690032.9589
10.05.2022 06:30:00.000,1.05668,1.05681,1.05597,1.05637,1870319976.8067002
10.05.2022 06:45:00.000,1.05641,1.05682,1.05596,1.05606,2128910011.2914999
10.05.2022 07:00:00.000,1.05605,1.05634,1.05514,1.05595,3209660018.9206996
10.05.2022 07:15:00.000,1.05595,1.05675,1.05549,1.05633,2856820007.3242
10.05.2022 07:30:00.000,1.05633,1.05785,1.05574,1.05760,3243859985.3516
10.05.2022 07:45:00.000,1.05759,1.05779,1.05572,1.05573,2980130027.7709994
10.05.2022 08:00:00.000,1.05573,1.05711,1.05568,1.05645,2733970039.3676004
10.05.2022 08:15:00.000,1.05645,1.05693,1.05542,1.05589,2322090026.8558
10.05.2022 08:30:00.000,1.05589,1.05675,1.05589,1.05665,2611429985.0463004
10.05.2022 08:45:00.000,1.05666,1.05758,1.05649,1.05727,2059080001.8310006
10.05.2022 09:00:00.000,1.05729,1.05760,1.05705,1.05719,2101739997.8638
10.05.2022 09:15:00.000,1.05720,1.05731,1.05587,1.05611,1925130004.8829
10.05.2022 09:30:00.000,1.05612,1.05638,1.05523,1.05553,2987319984.4359
10.05.2022 09:45:00.000,1.05555,1.05600,1.05374,1.05396,5828029968.261701
10.05.2022 10:00:00.000,1.05395,1.05439,1.05357,1.05439,3304670043.9454
10.05.2022 10:15:00.000,1.05438,1.05495,1.05412,1.05441,3499329994.2016006
