0,1,2,3,4,5,6,7,8,9,10,11,12,13,14
1.2963131475908167,1.2967116895247095,1.2971230724800924,1.2975344471804633,1.2979456532682565,1.2983566900875838,1.2987675577737117,1.2991782564637748,1.2996074202485712,1.3000364001999585,1.3004651964741152,1.3008938092274835,1.3013222386167778,1.3017504847989718,1.302178547931308
1.2965068049488686,1.2968784813442606,1.2972620320274058,1.2976455708142192,1.2980289628823865,1.2984122077734268,1.2987953055969481,1.2991782564637748,1.2995904622000638,1.300002498359016,1.3004143650788664,1.3008260624981431,1.3012375907556752,1.3016489499905812,1.3020601403422774
1.296272981064788,1.296678107463568,1.2970951203339525,1.2975120948827232,1.297928895969769,1.298345523167627,1.2987619766180047,1.2991782564637748,1.2996309138037134,1.3000833665957314,1.3005356150233707,1.300987659270384,1.3014394995207448,1.3018911359586327,1.3023425687684436
1.2968125920829483,1.297142598008639,1.2974820975082577,1.297821559826798,1.298160906931087,1.298500138688064,1.298839255173515,1.2991782564637748,1.2995256871965626,1.2998729975082952,1.3002201874812735,1.3005672571981552,1.300914206741965,1.3012610361960821,1.301607745644249
1.2971369721256498,1.2974216607345763,1.2977146013500869,1.2980075041977241,1.2983003211299273,1.2985930521196132,1.2988856972147604,1.2991782564637748,1.2994728862594587,1.299767429514449,1.3000618862784545,1.3003562566015823,1.3006505405343418,1.3009447381276378,1.3012388494327782
1.2971952811174559,1.297471819340828,1.2977563925120017,1.298040927491685,1.2983253813650244,1.2986097541222095,1.2988940458070521,1.2991782564637748,1.2994626110366245,1.2997468850145426,1.300031078442092,1.3003151913642406,1.3005992238263648,1.300883175874242,1.3011670475540582
1.2968059862938603,1.297138204383987,1.2974784667315369,1.2978186562947382,1.2981587300052995,1.298498687885945,1.2988385300131542,1.2991782564637748,1.2995235128964384,1.299868650400725,1.3002136690574158,1.3005585689476469,1.3009033501529137,1.301248012755061,1.3015925568362905
1.296401173327384,1.2967913103272308,1.2971894948938356,1.2975875641252734,1.297985474806435,1.2983832270072957,1.298780820851697,1.2991782564637748,1.2995795065638267,1.2999805959504076,1.3003815247510782,1.300782293093679,1.3011829011063345,1.3015833489174435,1.3019836366556856
1.2967010929570817,1.2970495434207026,1.2974046269074888,1.297759604978375,1.2981144568824057,1.298469182706449,1.2988237825377196,1.2991782564637748,1.2995333281471109,1.299888274016996,1.300243094161459,1.3005977886688642,1.300952357627917,1.3013068011276523,1.3016611192574443
1.2970542093393953,1.2973533842904903,1.2976577615024434,1.2979620459029462,1.2982662375453833,1.2985703364835104,1.2988743427714673,1.2991782564637748,1.2994847928312951,1.2997912354761252,1.3000975844544878,1.30040383982298,1.3007100016385789,1.3010160699586308,1.3013220448408616
